price;host_since;neighbourhood_cleansed;city;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;cleaning_fee;guests_included;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;calculated_host_listings_count;apartment;house;private_room;shared_room;strict_cancel;flexible_cancel;moderate_cancel
400.0;2407.0;0;1;7.0;1.0;3.0;4.0;1;14;50.0;5.67211876497981;1.0;25.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
115.0;1949.0;1;1;3.0;1.0;1.0;2.0;1;13;25.0;1.0;2.0;1125.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
98.0;3026.0;1;1;2.0;1.0;1.0;1.0;1;13;45.0;1.0;4.0;1125.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
350.0;2794.0;1;1;6.0;3.0;3.0;3.0;1;14;100.0;1.0;2.0;30.0;65.0;1;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
80.0;1909.0;1;1;2.0;1.0;1.0;2.0;1;12;0.0;0.0;4.0;1125.0;3.0;1;5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
130.0;2278.0;1;1;4.0;1.0;1.0;2.0;1;16;35.0;2.0;3.0;30.0;37.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
105.0;2064.0;1;1;2.0;1.0;1.0;1.0;1;6;0.0;1.0;1.0;1125.0;9.0;1;21.770801073508288;0.0;1.0;1.0;0.0;1.0;0.0;0.0
114.0;3328.0;1;1;2.0;1.0;1.0;1.0;1;16;30.0;2.0;2.0;65.0;12.0;1;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
250.0;3005.0;1;1;3.0;1.0;1.0;2.0;1;17;60.0;1.0;4.0;7.0;0.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
239.0;2565.0;1;1;3.0;1.0;2.0;2.0;1;11;50.0;1.0;5.0;1125.0;4.0;1;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
100.0;1982.0;1;1;2.0;1.0;1.0;1.0;1;15;0.0;1.0;7.0;1125.0;0.0;1;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
199.0;1920.0;1;1;6.0;2.0;2.0;4.0;1;14;95.0;5.67211876497981;1.0;1125.0;0.0;1;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
250.0;3426.0;1;1;3.0;1.0;1.0;1.0;1;16;0.0;1.0;2.0;1125.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
70.0;3485.0;1;1;1.0;1.0;1.0;1.0;1;13;0.0;1.0;6.0;150.0;10.0;1;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
67.0;1978.0;0;1;2.0;1.0;0.0;1.0;1;11;10.0;1.0;1.0;6.0;2.0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
135.0;2636.0;1;1;4.0;1.0;1.0;2.0;1;12;85.0;2.0;2.0;200.0;36.0;0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
103.0;2828.0;0;1;2.0;1.0;1.0;1.0;1;9;100.0;1.0;13.99614170525171;1125.0;24.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
102.0;2420.0;0;1;3.0;1.0;0.0;1.0;1;14;50.0;1.0;3.0;1125.0;8.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
140.0;4355.0;1;1;5.0;3.013746803499;3.7347608535457617;3.0;1;16;0.0;2.0;2.0;30.0;21.0;1;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
125.0;3297.0;1;1;3.0;1.0;2.0;2.0;1;21;0.0;1.0;3.0;1125.0;7.0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
85.0;2353.0;1;1;1.0;1.0;1.0;1.0;1;8;0.0;1.0;1.0;1125.0;3.0;1;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
120.0;2737.0;1;1;2.0;1.0;1.0;1.0;1;0;0.0;1.0;1.0;1125.0;0.0;1;3.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
300.0;3964.0;1;1;8.0;2.5;3.0;4.0;1;17;100.0;5.67211876497981;3.0;365.0;101.0;1;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
37.0;2371.0;0;1;2.0;1.0;1.0;1.0;0;11;25.0;1.0;2.0;1125.0;7.0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
75.0;2907.0;1;1;2.0;1.0;1.0;1.0;1;10;75.0;1.0;3.0;120.0;0.0;0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
250.0;2710.0;1;1;4.0;2.0;2.0;2.0;1;12;173.9625215685898;4.0;4.0;28.0;7.0;1;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
249.0;3183.0;0;1;6.0;2.0;2.0;3.0;1;25;59.0;5.67211876497981;2.0;180.0;0.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
85.0;3423.0;1;1;2.0;1.0;1.0;1.0;1;16;45.0;2.0;4.0;31.0;69.0;1;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
225.0;2632.0;1;1;6.0;1.0;2.0;2.0;1;10;0.0;4.0;3.0;90.0;4.0;1;21.770801073508288;1.0;0.0;0.0;0.0;1.0;0.0;0.0
45.0;3103.0;0;1;1.0;1.0;1.0;1.0;1;13;0.0;1.0;3.0;360.0;24.0;1;4.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0
67.0;2991.0;0;1;4.0;1.0;1.0;1.0;1;10;0.0;2.0;1.0;1125.0;11.0;1;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
205.0;1866.0;1;1;4.0;1.0;2.0;2.0;1;16;60.0;4.0;1.0;1125.0;0.0;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
104.0;2715.0;1;1;4.0;1.0;1.0;1.0;1;16;0.0;1.0;1.0;1125.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
105.0;2431.0;1;1;1.0;1.0;0.0;1.0;0;8;35.0;1.0;1.0;1125.0;15.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
